clon	clat	cell	time	cell_area	temperature	time_needed	nsamples	lon	lat	dataSetName	variableName	TSid	seasonality	datum	proxy	age_unc	seas	temp_unc	grid_lon	grid_lat	tavg_jan	tavg_feb	tavg_mar	tavg_apr	tavg_mai	tavg_jun	tavg_jul	tavg_aug	tavg_sep	tavg_oct	tavg_nov	tavg_dec	tavg_djf	tavg_mam	tavg_jja	tavg_son	tavg_ann	modern	reject	aligned	alignment_base	temperature_anomaly_ref	lipdverse	pi_anomaly_to_wc	band
-109.02857142857144	-76.9370948685525	58	0	126280667001.48405	-0.008933795218476925	692.804798	19094.0	-112.08	-79.4676	WAISBubble.Fegyveresi.2016	temperature	WEB7f2f016d	annual	abs	bubble frequency	54.416666666666664	annual	1.975877719	-109.02857142857144	-76.9370948685525	-14.699999809265137	-19.799999237060547	-25.5	-29.799999237060547	-30.600000381469727	-31.700000762939453	-32.20000076293945	-33.599998474121094	-31.899999618530273	-29.100000381469727	-21.200000762939453	-15.0	-16.499999682108562	-28.633333206176758	-32.5	-27.400000254313152	-26.258333285649616	-26.258333285649616	False	True	False	-30.068685995232908	http://lipdverse.org/globalHolocene/0_43_0/WAISBubble.Fegyveresi.2016.html	-0.42778057	-75.0
-109.02857142857144	-76.9370948685525	58	100	126280667001.48405	-0.1622526397144748	692.804798	22716.0	-112.08	-79.4676	WAISBubble.Fegyveresi.2016	temperature	WEB7f2f016d	annual	abs	bubble frequency	54.416666666666664	annual	1.975877719	-109.02857142857144	-76.9370948685525	-14.699999809265137	-19.799999237060547	-25.5	-29.799999237060547	-30.600000381469727	-31.700000762939453	-32.20000076293945	-33.599998474121094	-31.899999618530273	-29.100000381469727	-21.200000762939453	-15.0	-16.499999682108562	-28.633333206176758	-32.5	-27.400000254313152	-26.258333285649616	-26.258333285649616	False	True	False	-30.068685995232908	http://lipdverse.org/globalHolocene/0_43_0/WAISBubble.Fegyveresi.2016.html	-0.42778057	-75.0
-109.02857142857144	-76.9370948685525	58	200	126280667001.48405	-0.2589562081886214	692.804798	22539.0	-112.08	-79.4676	WAISBubble.Fegyveresi.2016	temperature	WEB7f2f016d	annual	abs	bubble frequency	54.416666666666664	annual	1.975877719	-109.02857142857144	-76.9370948685525	-14.699999809265137	-19.799999237060547	-25.5	-29.799999237060547	-30.600000381469727	-31.700000762939453	-32.20000076293945	-33.599998474121094	-31.899999618530273	-29.100000381469727	-21.200000762939453	-15.0	-16.499999682108562	-28.633333206176758	-32.5	-27.400000254313152	-26.258333285649616	-26.258333285649616	False	True	False	-30.068685995232908	http://lipdverse.org/globalHolocene/0_43_0/WAISBubble.Fegyveresi.2016.html	-0.42778057	-75.0
-109.02857142857144	-76.9370948685525	58	300	126280667001.48405	-0.3067480257658053	692.804798	22851.0	-112.08	-79.4676	WAISBubble.Fegyveresi.2016	temperature	WEB7f2f016d	annual	abs	bubble frequency	54.416666666666664	annual	1.975877719	-109.02857142857144	-76.9370948685525	-14.699999809265137	-19.799999237060547	-25.5	-29.799999237060547	-30.600000381469727	-31.700000762939453	-32.20000076293945	-33.599998474121094	-31.899999618530273	-29.100000381469727	-21.200000762939453	-15.0	-16.499999682108562	-28.633333206176758	-32.5	-27.400000254313152	-26.258333285649616	-26.258333285649616	False	True	False	-30.068685995232908	http://lipdverse.org/globalHolocene/0_43_0/WAISBubble.Fegyveresi.2016.html	-0.42778057	-75.0
-109.02857142857144	-76.9370948685525	58	400	126280667001.48405	-0.31333161757091754	692.804798	23039.0	-112.08	-79.4676	WAISBubble.Fegyveresi.2016	temperature	WEB7f2f016d	annual	abs	bubble frequency	54.416666666666664	annual	1.975877719	-109.02857142857144	-76.9370948685525	-14.699999809265137	-19.799999237060547	-25.5	-29.799999237060547	-30.600000381469727	-31.700000762939453	-32.20000076293945	-33.599998474121094	-31.899999618530273	-29.100000381469727	-21.200000762939453	-15.0	-16.499999682108562	-28.633333206176758	-32.5	-27.400000254313152	-26.258333285649616	-26.258333285649616	False	True	False	-30.068685995232908	http://lipdverse.org/globalHolocene/0_43_0/WAISBubble.Fegyveresi.2016.html	-0.42778057	-75.0
-109.02857142857144	-76.9370948685525	58	500	126280667001.48405	-0.28641050872884866	692.804798	23219.0	-112.08	-79.4676	WAISBubble.Fegyveresi.2016	temperature	WEB7f2f016d	annual	abs	bubble frequency	54.416666666666664	annual	1.975877719	-109.02857142857144	-76.9370948685525	-14.699999809265137	-19.799999237060547	-25.5	-29.799999237060547	-30.600000381469727	-31.700000762939453	-32.20000076293945	-33.599998474121094	-31.899999618530273	-29.100000381469727	-21.200000762939453	-15.0	-16.499999682108562	-28.633333206176758	-32.5	-27.400000254313152	-26.258333285649616	-26.258333285649616	False	True	False	-30.068685995232908	http://lipdverse.org/globalHolocene/0_43_0/WAISBubble.Fegyveresi.2016.html	-0.42778057	-75.0
-109.02857142857144	-76.9370948685525	58	600	126280667001.48405	-0.23368822436448755	692.804798	22778.0	-112.08	-79.4676	WAISBubble.Fegyveresi.2016	temperature	WEB7f2f016d	annual	abs	bubble frequency	54.416666666666664	annual	1.975877719	-109.02857142857144	-76.9370948685525	-14.699999809265137	-19.799999237060547	-25.5	-29.799999237060547	-30.600000381469727	-31.700000762939453	-32.20000076293945	-33.599998474121094	-31.899999618530273	-29.100000381469727	-21.200000762939453	-15.0	-16.499999682108562	-28.633333206176758	-32.5	-27.400000254313152	-26.258333285649616	-26.258333285649616	False	True	False	-30.068685995232908	http://lipdverse.org/globalHolocene/0_43_0/WAISBubble.Fegyveresi.2016.html	-0.42778057	-75.0
-109.02857142857144	-76.9370948685525	58	700	126280667001.48405	-0.16286828960272515	692.804798	22418.0	-112.08	-79.4676	WAISBubble.Fegyveresi.2016	temperature	WEB7f2f016d	annual	abs	bubble frequency	54.416666666666664	annual	1.975877719	-109.02857142857144	-76.9370948685525	-14.699999809265137	-19.799999237060547	-25.5	-29.799999237060547	-30.600000381469727	-31.700000762939453	-32.20000076293945	-33.599998474121094	-31.899999618530273	-29.100000381469727	-21.200000762939453	-15.0	-16.499999682108562	-28.633333206176758	-32.5	-27.400000254313152	-26.258333285649616	-26.258333285649616	False	True	False	-30.068685995232908	http://lipdverse.org/globalHolocene/0_43_0/WAISBubble.Fegyveresi.2016.html	-0.42778057	-75.0
-109.02857142857144	-76.9370948685525	58	800	126280667001.48405	-0.08165422956845081	692.804798	22173.0	-112.08	-79.4676	WAISBubble.Fegyveresi.2016	temperature	WEB7f2f016d	annual	abs	bubble frequency	54.416666666666664	annual	1.975877719	-109.02857142857144	-76.9370948685525	-14.699999809265137	-19.799999237060547	-25.5	-29.799999237060547	-30.600000381469727	-31.700000762939453	-32.20000076293945	-33.599998474121094	-31.899999618530273	-29.100000381469727	-21.200000762939453	-15.0	-16.499999682108562	-28.633333206176758	-32.5	-27.400000254313152	-26.258333285649616	-26.258333285649616	False	True	False	-30.068685995232908	http://lipdverse.org/globalHolocene/0_43_0/WAISBubble.Fegyveresi.2016.html	-0.42778057	-75.0
-109.02857142857144	-76.9370948685525	58	900	126280667001.48405	0.0025857599789969044	692.804798	22413.0	-112.08	-79.4676	WAISBubble.Fegyveresi.2016	temperature	WEB7f2f016d	annual	abs	bubble frequency	54.416666666666664	annual	1.975877719	-109.02857142857144	-76.9370948685525	-14.699999809265137	-19.799999237060547	-25.5	-29.799999237060547	-30.600000381469727	-31.700000762939453	-32.20000076293945	-33.599998474121094	-31.899999618530273	-29.100000381469727	-21.200000762939453	-15.0	-16.499999682108562	-28.633333206176758	-32.5	-27.400000254313152	-26.258333285649616	-26.258333285649616	False	True	False	-30.068685995232908	http://lipdverse.org/globalHolocene/0_43_0/WAISBubble.Fegyveresi.2016.html	-0.42778057	-75.0
