clon	clat	cell	time	cell_area	temperature	time_needed	nsamples	TSid	lon	lat	dataSetName	variableName	seasonality	variableDetail	datum	proxy	age_unc	seas	temp_unc	tavg_jan_pi	tavg_feb_pi	tavg_mar_pi	tavg_apr_pi	tavg_mai_pi	tavg_jun_pi	tavg_jul_pi	tavg_aug_pi	tavg_sep_pi	tavg_oct_pi	tavg_nov_pi	tavg_dec_pi	tavg_djf_pi	tavg_mam_pi	tavg_jja_pi	tavg_son_pi	tavg_ann_pi	tavg_missing_pi	tavg_jan_wc	tavg_feb_wc	tavg_mar_wc	tavg_apr_wc	tavg_mai_wc	tavg_jun_wc	tavg_jul_wc	tavg_aug_wc	tavg_sep_wc	tavg_oct_wc	tavg_nov_wc	tavg_dec_wc	tavg_djf_wc	tavg_mam_wc	tavg_jja_wc	tavg_son_wc	tavg_ann_wc	tavg_missing_wc	worldclim	pi	recalculated	aligned	alignment_base	temperature_anomaly_ref	lipdverse	band
-73.16743852232833	-41.68284113004046	699	-12000	127496229751.59114	0.516277553920606	226.870629	256.0	R7eBhCUMOfI	-71.5167	-41.0583	LagoMoreno.Markgraf.2002	temperatureComposite2	annual	air@surface	anom	pollen	85.58333333333334	annual	2.5153917028146915	15.3477783203125	15.047778129577637	12.8477783203125	9.747777938842773	7.047778129577637	4.8477783203125	4.047778129577637	4.747778415679932	6.3477783203125	8.947778701782227	11.547778129577637	13.8477783203125	14.747778256734213	9.88111146291097	4.547778288523356	8.947778383890787	9.531111598014832	False	14.5	14.199999809265137	12.0	8.899999618530273	6.199999809265137	4.0	3.200000047683716	3.9000000953674316	5.5	8.100000381469727	10.699999809265137	13.0	13.899999936421713	9.03333314259847	3.700000047683716	8.100000063578287	8.683333297570547	False	8.799999992052715	9.647778272628784	True	True	True	0.44966795539325216	http://lipdverse.org/globalHolocene/1_0_0/LagoMoreno.Markgraf.2002.html	-45.0
-73.16743852232833	-41.68284113004046	699	-11900	127496229751.59114	0.5720148372368212	226.870629	322.0	R7eBhCUMOfI	-71.5167	-41.0583	LagoMoreno.Markgraf.2002	temperatureComposite2	annual	air@surface	anom	pollen	85.58333333333334	annual	2.5153917028146915	15.3477783203125	15.047778129577637	12.8477783203125	9.747777938842773	7.047778129577637	4.8477783203125	4.047778129577637	4.747778415679932	6.3477783203125	8.947778701782227	11.547778129577637	13.8477783203125	14.747778256734213	9.88111146291097	4.547778288523356	8.947778383890787	9.531111598014832	False	14.5	14.199999809265137	12.0	8.899999618530273	6.199999809265137	4.0	3.200000047683716	3.9000000953674316	5.5	8.100000381469727	10.699999809265137	13.0	13.899999936421713	9.03333314259847	3.700000047683716	8.100000063578287	8.683333297570547	False	8.799999992052715	9.647778272628784	True	True	True	0.44966795539325216	http://lipdverse.org/globalHolocene/1_0_0/LagoMoreno.Markgraf.2002.html	-45.0
-73.16743852232833	-41.68284113004046	699	-11800	127496229751.59114	0.6300122057395695	226.870629	349.0	R7eBhCUMOfI	-71.5167	-41.0583	LagoMoreno.Markgraf.2002	temperatureComposite2	annual	air@surface	anom	pollen	85.58333333333334	annual	2.5153917028146915	15.3477783203125	15.047778129577637	12.8477783203125	9.747777938842773	7.047778129577637	4.8477783203125	4.047778129577637	4.747778415679932	6.3477783203125	8.947778701782227	11.547778129577637	13.8477783203125	14.747778256734213	9.88111146291097	4.547778288523356	8.947778383890787	9.531111598014832	False	14.5	14.199999809265137	12.0	8.899999618530273	6.199999809265137	4.0	3.200000047683716	3.9000000953674316	5.5	8.100000381469727	10.699999809265137	13.0	13.899999936421713	9.03333314259847	3.700000047683716	8.100000063578287	8.683333297570547	False	8.799999992052715	9.647778272628784	True	True	True	0.44966795539325216	http://lipdverse.org/globalHolocene/1_0_0/LagoMoreno.Markgraf.2002.html	-45.0
-73.16743852232833	-41.68284113004046	699	-11700	127496229751.59114	0.6886829897319251	226.870629	372.0	R7eBhCUMOfI	-71.5167	-41.0583	LagoMoreno.Markgraf.2002	temperatureComposite2	annual	air@surface	anom	pollen	85.58333333333334	annual	2.5153917028146915	15.3477783203125	15.047778129577637	12.8477783203125	9.747777938842773	7.047778129577637	4.8477783203125	4.047778129577637	4.747778415679932	6.3477783203125	8.947778701782227	11.547778129577637	13.8477783203125	14.747778256734213	9.88111146291097	4.547778288523356	8.947778383890787	9.531111598014832	False	14.5	14.199999809265137	12.0	8.899999618530273	6.199999809265137	4.0	3.200000047683716	3.9000000953674316	5.5	8.100000381469727	10.699999809265137	13.0	13.899999936421713	9.03333314259847	3.700000047683716	8.100000063578287	8.683333297570547	False	8.799999992052715	9.647778272628784	True	True	True	0.44966795539325216	http://lipdverse.org/globalHolocene/1_0_0/LagoMoreno.Markgraf.2002.html	-45.0
-73.16743852232833	-41.68284113004046	699	-11600	127496229751.59114	0.7464405195169658	226.870629	379.0	R7eBhCUMOfI	-71.5167	-41.0583	LagoMoreno.Markgraf.2002	temperatureComposite2	annual	air@surface	anom	pollen	85.58333333333334	annual	2.5153917028146915	15.3477783203125	15.047778129577637	12.8477783203125	9.747777938842773	7.047778129577637	4.8477783203125	4.047778129577637	4.747778415679932	6.3477783203125	8.947778701782227	11.547778129577637	13.8477783203125	14.747778256734213	9.88111146291097	4.547778288523356	8.947778383890787	9.531111598014832	False	14.5	14.199999809265137	12.0	8.899999618530273	6.199999809265137	4.0	3.200000047683716	3.9000000953674316	5.5	8.100000381469727	10.699999809265137	13.0	13.899999936421713	9.03333314259847	3.700000047683716	8.100000063578287	8.683333297570547	False	8.799999992052715	9.647778272628784	True	True	True	0.44966795539325216	http://lipdverse.org/globalHolocene/1_0_0/LagoMoreno.Markgraf.2002.html	-45.0
-73.16743852232833	-41.68284113004046	699	-11500	127496229751.59114	0.8016981253977654	226.870629	373.0	R7eBhCUMOfI	-71.5167	-41.0583	LagoMoreno.Markgraf.2002	temperatureComposite2	annual	air@surface	anom	pollen	85.58333333333334	annual	2.5153917028146915	15.3477783203125	15.047778129577637	12.8477783203125	9.747777938842773	7.047778129577637	4.8477783203125	4.047778129577637	4.747778415679932	6.3477783203125	8.947778701782227	11.547778129577637	13.8477783203125	14.747778256734213	9.88111146291097	4.547778288523356	8.947778383890787	9.531111598014832	False	14.5	14.199999809265137	12.0	8.899999618530273	6.199999809265137	4.0	3.200000047683716	3.9000000953674316	5.5	8.100000381469727	10.699999809265137	13.0	13.899999936421713	9.03333314259847	3.700000047683716	8.100000063578287	8.683333297570547	False	8.799999992052715	9.647778272628784	True	True	True	0.44966795539325216	http://lipdverse.org/globalHolocene/1_0_0/LagoMoreno.Markgraf.2002.html	-45.0
-73.16743852232833	-41.68284113004046	699	-11400	127496229751.59114	0.8528691376774017	226.870629	398.0	R7eBhCUMOfI	-71.5167	-41.0583	LagoMoreno.Markgraf.2002	temperatureComposite2	annual	air@surface	anom	pollen	85.58333333333334	annual	2.5153917028146915	15.3477783203125	15.047778129577637	12.8477783203125	9.747777938842773	7.047778129577637	4.8477783203125	4.047778129577637	4.747778415679932	6.3477783203125	8.947778701782227	11.547778129577637	13.8477783203125	14.747778256734213	9.88111146291097	4.547778288523356	8.947778383890787	9.531111598014832	False	14.5	14.199999809265137	12.0	8.899999618530273	6.199999809265137	4.0	3.200000047683716	3.9000000953674316	5.5	8.100000381469727	10.699999809265137	13.0	13.899999936421713	9.03333314259847	3.700000047683716	8.100000063578287	8.683333297570547	False	8.799999992052715	9.647778272628784	True	True	True	0.44966795539325216	http://lipdverse.org/globalHolocene/1_0_0/LagoMoreno.Markgraf.2002.html	-45.0
-73.16743852232833	-41.68284113004046	699	-11300	127496229751.59114	0.898345210834365	226.870629	408.0	R7eBhCUMOfI	-71.5167	-41.0583	LagoMoreno.Markgraf.2002	temperatureComposite2	annual	air@surface	anom	pollen	85.58333333333334	annual	2.5153917028146915	15.3477783203125	15.047778129577637	12.8477783203125	9.747777938842773	7.047778129577637	4.8477783203125	4.047778129577637	4.747778415679932	6.3477783203125	8.947778701782227	11.547778129577637	13.8477783203125	14.747778256734213	9.88111146291097	4.547778288523356	8.947778383890787	9.531111598014832	False	14.5	14.199999809265137	12.0	8.899999618530273	6.199999809265137	4.0	3.200000047683716	3.9000000953674316	5.5	8.100000381469727	10.699999809265137	13.0	13.899999936421713	9.03333314259847	3.700000047683716	8.100000063578287	8.683333297570547	False	8.799999992052715	9.647778272628784	True	True	True	0.44966795539325216	http://lipdverse.org/globalHolocene/1_0_0/LagoMoreno.Markgraf.2002.html	-45.0
-73.16743852232833	-41.68284113004046	699	-11200	127496229751.59114	0.936396820621751	226.870629	405.0	R7eBhCUMOfI	-71.5167	-41.0583	LagoMoreno.Markgraf.2002	temperatureComposite2	annual	air@surface	anom	pollen	85.58333333333334	annual	2.5153917028146915	15.3477783203125	15.047778129577637	12.8477783203125	9.747777938842773	7.047778129577637	4.8477783203125	4.047778129577637	4.747778415679932	6.3477783203125	8.947778701782227	11.547778129577637	13.8477783203125	14.747778256734213	9.88111146291097	4.547778288523356	8.947778383890787	9.531111598014832	False	14.5	14.199999809265137	12.0	8.899999618530273	6.199999809265137	4.0	3.200000047683716	3.9000000953674316	5.5	8.100000381469727	10.699999809265137	13.0	13.899999936421713	9.03333314259847	3.700000047683716	8.100000063578287	8.683333297570547	False	8.799999992052715	9.647778272628784	True	True	True	0.44966795539325216	http://lipdverse.org/globalHolocene/1_0_0/LagoMoreno.Markgraf.2002.html	-45.0
-73.16743852232833	-41.68284113004046	699	-11100	127496229751.59114	0.9652523529806345	226.870629	395.0	R7eBhCUMOfI	-71.5167	-41.0583	LagoMoreno.Markgraf.2002	temperatureComposite2	annual	air@surface	anom	pollen	85.58333333333334	annual	2.5153917028146915	15.3477783203125	15.047778129577637	12.8477783203125	9.747777938842773	7.047778129577637	4.8477783203125	4.047778129577637	4.747778415679932	6.3477783203125	8.947778701782227	11.547778129577637	13.8477783203125	14.747778256734213	9.88111146291097	4.547778288523356	8.947778383890787	9.531111598014832	False	14.5	14.199999809265137	12.0	8.899999618530273	6.199999809265137	4.0	3.200000047683716	3.9000000953674316	5.5	8.100000381469727	10.699999809265137	13.0	13.899999936421713	9.03333314259847	3.700000047683716	8.100000063578287	8.683333297570547	False	8.799999992052715	9.647778272628784	True	True	True	0.44966795539325216	http://lipdverse.org/globalHolocene/1_0_0/LagoMoreno.Markgraf.2002.html	-45.0
